problem,solution,answer
"Let the letters $F$ $L$ $Y$ $B$ $U$ $G$ represent distinct digits. Suppose $\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y}$ is the greatest number that satisfies the equation
\[8\cdot\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y}=\underline{B}~\underline{U}~\underline{G}~\underline{B}~\underline{U}~\underline{G}.\]
What is the value of $\underline{F}~\underline{L}~\underline{Y}+\underline{B}~\underline{U}~\underline{G}$
$\textbf{(A)}\ 1089 \qquad \textbf{(B)}\ 1098 \qquad \textbf{(C)}\ 1107 \qquad \textbf{(D)}\ 1116 \qquad \textbf{(E)}\ 1125$","The highest that $FLYFLY$ can be would have to be $124124$ , and it cannot be higher than that because then it would exceed the $6$ -digit limit set on $BUGBUG$
So, if we start at $124124\cdot8$ , we get $992992$ , which would be wrong because both $B \& U$ would be $9$ , and the numbers cannot be repeated between different letters.
If we move on to the next highest, $123123$ , and multiply by $8$ , we get $984984$ . All the digits are different, so $FLY+BUG$ would be $123+984$ , which is $1107$ . So, the answer is $\boxed{1107}$",1107
"Let the letters $F$ $L$ $Y$ $B$ $U$ $G$ represent distinct digits. Suppose $\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y}$ is the greatest number that satisfies the equation
\[8\cdot\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y}=\underline{B}~\underline{U}~\underline{G}~\underline{B}~\underline{U}~\underline{G}.\]
What is the value of $\underline{F}~\underline{L}~\underline{Y}+\underline{B}~\underline{U}~\underline{G}$
$\textbf{(A)}\ 1089 \qquad \textbf{(B)}\ 1098 \qquad \textbf{(C)}\ 1107 \qquad \textbf{(D)}\ 1116 \qquad \textbf{(E)}\ 1125$","Notice that $\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y} = 1000(\underline{F}~\underline{L}~\underline{Y}) + \underline{F}~\underline{L}~\underline{Y}$
Likewise, $\underline{B}~\underline{U}~\underline{G}~\underline{B}~\underline{U}~\underline{G} = 1000(\underline{B}~\underline{U}~\underline{G}) + \underline{B}~\underline{U}~\underline{G}$
Therefore, we have the following equation:
$8 \times 1001(\underline{F}~\underline{L}~\underline{Y}) = 1001(\underline{B}~\underline{U}~\underline{G})$
Simplifying the equation gives
$8(\underline{F}~\underline{L}~\underline{Y}) = (\underline{B}~\underline{U}~\underline{G})$
We can now use our equation to test each answer choice.
We have that $123123 \times 8 = 984984$ , so we can find the sum:
$\underline{F}~\underline{L}~\underline{Y}+\underline{B}~\underline{U}~\underline{G} = 123 + 984 = 1107$
So, the correct answer is $\boxed{1107}$",1107
"Let the letters $F$ $L$ $Y$ $B$ $U$ $G$ represent distinct digits. Suppose $\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y}$ is the greatest number that satisfies the equation
\[8\cdot\underline{F}~\underline{L}~\underline{Y}~\underline{F}~\underline{L}~\underline{Y}=\underline{B}~\underline{U}~\underline{G}~\underline{B}~\underline{U}~\underline{G}.\]
What is the value of $\underline{F}~\underline{L}~\underline{Y}+\underline{B}~\underline{U}~\underline{G}$
$\textbf{(A)}\ 1089 \qquad \textbf{(B)}\ 1098 \qquad \textbf{(C)}\ 1107 \qquad \textbf{(D)}\ 1116 \qquad \textbf{(E)}\ 1125$","Note that $FLY+BUG = 9 \cdot FLY$ . Thus, we can check the answer choices and find $FLY$ through each of the answer choices, we find the 1107 works, so the answer is $\boxed{1107}$",1107
"Minh enters the numbers $1$ through $81$ into the cells of a $9 \times 9$ grid in some order. She calculates the product of the numbers in each row and column. What is the least number of rows and columns that could have a product divisible by $3$
$\textbf{(A) } 8\qquad\textbf{(B) } 9\qquad\textbf{(C) } 10\qquad\textbf{(D) } 11\qquad\textbf{(E) } 12$","[asy] unitsize(0.2cm); draw((9,18)--(-9,18)); draw((9,16)--(-9,16)); draw((9,14)--(-9,14)); draw((9,12)--(-9,12)); draw((9,10)--(-9,10)); draw((9,8)--(-9,8)); draw((9,6)--(-9,6)); draw((9,4)--(-9,4)); draw((9,2)--(-9,2)); draw((9,0)--(-9,0));  draw((9,18)--(9,0)); draw((7,18)--(7,0)); draw((5,18)--(5,0)); draw((3,18)--(3,0)); draw((1,18)--(1,0)); draw((-1,18)--(-1,0)); draw((-3,18)--(-3,0)); draw((-5,18)--(-5,0)); draw((-7,18)--(-7,0)); draw((-9,18)--(-9,0));  draw((-9,17)--(9,17), red); draw((-9,15)--(9,15), red); draw((-9,13)--(9,13), red); draw((-8,0)--(-8,18), red); draw((-6,0)--(-6,18), red); draw((-4,0)--(-4,18), red); draw((-2,0)--(-2,18), red); [/asy]
We know that if a row/column of numbers has a single multiple of $3$ , that entire row/column will be divisible by $3$ . Since there are $27$ multiples of $3$ from $1$ to $81$ , We need to find a way to place the $54$ non-multiples of $3$ such that they take up as many entire rows and columns as possible.
If we naively put in non-multiples of $3$ in $6$ rows from the top, we get $18 - 6 = 12$ rows that are multiples of $3$ . However, we can improve this number by making some rows and columns intersect so that some squares help fill out both rows and columns
We see that filling $7$ rows/columns would usually take $7 \times 9 = 63$ of our non-multiples, but if we do $4$ rows and $3$ columns, $12$ will intersect. With our $54$ being enough as we need only $51$ non-multiples of $3$ $63$ minus the $12$ overlapped). We check to see if we can fill out one more row/column, and when that fails we conclude the final answer to be $18 - 7 = \boxed{11}$ -IwOwOwl253 ~andliu766(Minor edits) -c29ss1(Diagram)",11
"Minh enters the numbers $1$ through $81$ into the cells of a $9 \times 9$ grid in some order. She calculates the product of the numbers in each row and column. What is the least number of rows and columns that could have a product divisible by $3$
$\textbf{(A) } 8\qquad\textbf{(B) } 9\qquad\textbf{(C) } 10\qquad\textbf{(D) } 11\qquad\textbf{(E) } 12$","Note you can swap/rotate any configuration of rows, such that all the rows and columns that have a product of 3 are in the top left. Hence the points are bounded by a $a \times b$ rectangle. This has $ab$ area and $a+b$ rows and columns divisible by $3$ . We want $ab\ge 27$ and $a+b$ minimized.
If $ab=27$ , we achieve minimum with $a+b=9+3=12$
If $ab=28$ ,our best is $a+b=7+4=11$ . Note if $a+b=10$ , then $ab\le 25$ , and hence there is no smaller answer, and we get $\boxed{11}$",11
"Minh enters the numbers $1$ through $81$ into the cells of a $9 \times 9$ grid in some order. She calculates the product of the numbers in each row and column. What is the least number of rows and columns that could have a product divisible by $3$
$\textbf{(A) } 8\qquad\textbf{(B) } 9\qquad\textbf{(C) } 10\qquad\textbf{(D) } 11\qquad\textbf{(E) } 12$","For a row or column to have a product divisible by $3$ , there must be a multiple of $3$ in the row or column. To create the least amount of rows and columns with multiples of $3$ , we must find a way to keep them all together, to minimize the total number of rows and columns. From $1$ to $81$ , there are $27$ multiples of $3$ $81/3$ ). So we have to fill $27$ cells with numbers that are multiples of $3$ . If we put $25$ of these numbers in a $5 x 5$ grid, there would be $5$ rows and $5$ columns ( $10$ in total), with products divisible by $3$ . However, we have $27$ numbers, so $2$ numbers remain to put in the $9 x 9$ grid. If we put both numbers in the $6$ th column, but one in the first row, and one in the second row, (next to the $5 x 5$ already filled), we would have a total of $6$ columns now, and still $5$ rows with products that are multiples of $3$ . So the answer is $\boxed{11}$",11
"Minh enters the numbers $1$ through $81$ into the cells of a $9 \times 9$ grid in some order. She calculates the product of the numbers in each row and column. What is the least number of rows and columns that could have a product divisible by $3$
$\textbf{(A) } 8\qquad\textbf{(B) } 9\qquad\textbf{(C) } 10\qquad\textbf{(D) } 11\qquad\textbf{(E) } 12$","In the numbers $1$ to $81$ , there are 27 multiples of three. In order to minimize the rows and columns, the best way is to make a square. However, the closest square is $25$ , meaning there are two multiples of three remaining. However, you can place these multiples right above the 5x5 square, meaning the answer is $\boxed{11}$ (Error making remote request. No response to HTTP request) ~ e___",11
"A chess king is said to attack all the squares one step away from it, horizontally, vertically, or diagonally. For instance, a king on the center square of a $3$ $3$ grid attacks all $8$ other squares, as shown below. Suppose a white king and a black king are placed on different squares of a $3$ $3$ grid so that they do not attack each other. In how many ways can this be done?
[asy] /* AMC8 P17 2024, revised by Teacher David */ unitsize(29pt); import math; add(grid(3,3));  pair [] a = {(0.5,0.5), (0.5, 1.5), (0.5, 2.5), (1.5, 2.5), (2.5,2.5), (2.5,1.5), (2.5,0.5), (1.5,0.5)};  for (int i=0; i<a.length; ++i) {     pair x = (1.5,1.5) + 0.4*dir(225-45*i);     draw(x -- a[i], arrow=EndArrow()); }  label(""$K$"", (1.5,1.5)); [/asy]
$\textbf{(A)}\ 20 \qquad \textbf{(B)}\ 24 \qquad \textbf{(C)}\ 27 \qquad \textbf{(D)}\ 28 \qquad \textbf{(E)}\ 32$
~Diagram by Andrei.martynau","Corners have $5$ spots to go and there are $4$ corners, so $5 \times 4=20$ .
Edges have $3$ spots to go and there are $4$ sides so, $3 \times 4=12$ . 
That gives us $20+12=32$ spots to go into totally.
So $\boxed{32}$ is the answer.
~andliu766",32
"Three concentric circles centered at $O$ have radii of $1$ $2$ , and $3$ . Points $B$ and $C$ lie on the largest circle. The region between the two smaller circles is shaded, as is the portion of the region between the two larger circles bounded by central angle $BOC$ , as shown in the figure below. Suppose the shaded and unshaded regions are equal in area. What is the measure of $\angle{BOC}$ in degrees?
[asy] size(150); import graph;  draw(circle((0,0),3)); real radius = 3; real angleStart = -54;  // starting angle of the sector real angleEnd = 54;  // ending angle of the sector label(""$O$"",(0,0),W); pair O = (0, 0); filldraw(arc(O, radius, angleStart, angleEnd)--O--cycle, gray); filldraw(circle((0,0),2),gray); filldraw(circle((0,0),1),white); draw((1.763,2.427)--(0,0)--(1.763,-2.427)); label(""$B$"",(1.763,2.427),NE); label(""$C$"",(1.763,-2.427),SE);  [/asy] $\textbf{(A) } 108\qquad\textbf{(B) } 120\qquad\textbf{(C) } 135\qquad\textbf{(D) } 144\qquad\textbf{(E) } 150$","Let $x=\angle{BOC}$
We see that the shaded region is the inner ring plus a sector $x^\circ$ of the outer ring. The area of this in terms of $x$ is $\left( 4 \pi - \pi \right)+\frac{x}{360} \left( 9 \pi - 4 \pi \right)$ . This simplifies to $3 \pi + \frac{x}{360}(5 \pi)$
Also, the unshaded portion is comprised of the smallest circle plus the sector $(360-x)^\circ$ of the outer ring. The area of this is $\pi + \frac{360-x}{360}(5 \pi)$
We are told these are equal, therefore $\pi + \frac{x}{360}(5 \pi) = 3 \pi + \frac{360-x}{360}(5 \pi)$ . Solving for $x$ reveals $x=\boxed{108}$",108
"Three concentric circles centered at $O$ have radii of $1$ $2$ , and $3$ . Points $B$ and $C$ lie on the largest circle. The region between the two smaller circles is shaded, as is the portion of the region between the two larger circles bounded by central angle $BOC$ , as shown in the figure below. Suppose the shaded and unshaded regions are equal in area. What is the measure of $\angle{BOC}$ in degrees?
[asy] size(150); import graph;  draw(circle((0,0),3)); real radius = 3; real angleStart = -54;  // starting angle of the sector real angleEnd = 54;  // ending angle of the sector label(""$O$"",(0,0),W); pair O = (0, 0); filldraw(arc(O, radius, angleStart, angleEnd)--O--cycle, gray); filldraw(circle((0,0),2),gray); filldraw(circle((0,0),1),white); draw((1.763,2.427)--(0,0)--(1.763,-2.427)); label(""$B$"",(1.763,2.427),NE); label(""$C$"",(1.763,-2.427),SE);  [/asy] $\textbf{(A) } 108\qquad\textbf{(B) } 120\qquad\textbf{(C) } 135\qquad\textbf{(D) } 144\qquad\textbf{(E) } 150$","Notice for the 3rd most outer ring of the circle, the ratio of the shaded region to non-shaded region is the ratio of $\angle{BOC}$ to $360-\angle{BOC}$ . With that, all we need to do is solve for the shaded region.
The inner most circle has radius $1$ , and the second circle has radius 2. Therefore, the first shaded area has $4 \pi - \pi = 3 \pi$ area. The circle has total area $9 \pi$ , so the other shaded region must have $1.5 \pi$ area, as the non-shaded and shaded area is equivalent. So for the 3rd outer ring, the total area is $9 \pi - 4 \pi = 5 \pi$ , so the non-shaded part of the outer ring is $5 \pi - 1.5 \pi = 3.5 \pi$
Now as said before, the ratio of these two areas is the ratio of $\angle{BOC}$ and $360 - \angle{BOC}$ . So, $\frac{3.5}{1.5} = \frac{7}{3}$ . We have $7x:3x$ where $7x+3x = 360$ $x = 36$ , so our answer is $3x = 108, \boxed{108}$",108
"Three concentric circles centered at $O$ have radii of $1$ $2$ , and $3$ . Points $B$ and $C$ lie on the largest circle. The region between the two smaller circles is shaded, as is the portion of the region between the two larger circles bounded by central angle $BOC$ , as shown in the figure below. Suppose the shaded and unshaded regions are equal in area. What is the measure of $\angle{BOC}$ in degrees?
[asy] size(150); import graph;  draw(circle((0,0),3)); real radius = 3; real angleStart = -54;  // starting angle of the sector real angleEnd = 54;  // ending angle of the sector label(""$O$"",(0,0),W); pair O = (0, 0); filldraw(arc(O, radius, angleStart, angleEnd)--O--cycle, gray); filldraw(circle((0,0),2),gray); filldraw(circle((0,0),1),white); draw((1.763,2.427)--(0,0)--(1.763,-2.427)); label(""$B$"",(1.763,2.427),NE); label(""$C$"",(1.763,-2.427),SE);  [/asy] $\textbf{(A) } 108\qquad\textbf{(B) } 120\qquad\textbf{(C) } 135\qquad\textbf{(D) } 144\qquad\textbf{(E) } 150$","The AMC 8s allow a ruler tool that you can rotate and drag. You can use the tool to make a straight segment (which we know is $180$ degrees), and we let the angle of desire be $x$ . We can estimate that $180-x$ is just about $30$ degrees short of $x$ itself, so $x-30=180-x$ , solving gives $x=105$ , therefore the closest answer is $\boxed{108}$",108
"Three concentric circles centered at $O$ have radii of $1$ $2$ , and $3$ . Points $B$ and $C$ lie on the largest circle. The region between the two smaller circles is shaded, as is the portion of the region between the two larger circles bounded by central angle $BOC$ , as shown in the figure below. Suppose the shaded and unshaded regions are equal in area. What is the measure of $\angle{BOC}$ in degrees?
[asy] size(150); import graph;  draw(circle((0,0),3)); real radius = 3; real angleStart = -54;  // starting angle of the sector real angleEnd = 54;  // ending angle of the sector label(""$O$"",(0,0),W); pair O = (0, 0); filldraw(arc(O, radius, angleStart, angleEnd)--O--cycle, gray); filldraw(circle((0,0),2),gray); filldraw(circle((0,0),1),white); draw((1.763,2.427)--(0,0)--(1.763,-2.427)); label(""$B$"",(1.763,2.427),NE); label(""$C$"",(1.763,-2.427),SE);  [/asy] $\textbf{(A) } 108\qquad\textbf{(B) } 120\qquad\textbf{(C) } 135\qquad\textbf{(D) } 144\qquad\textbf{(E) } 150$","Suppose the desired angle is some fraction $x$ of the total degree measure of the circle. We now compile a list of the shaded and unshaded areas. The inner circle of radius $1$ is completely unshaded, so it contributes $1$ to the unshaded area. (Everything will be a multiple of $\pi$ , so we omit it.) The inner annulus has area $2^2 - 1^2 = 3$ , which it contributes to the shaded area. The outer annulus has a total area of $3^2 - 2^2 = 5$ ; the fraction $x$ is shaded, so the shaded portion of the outer annulus contributes $5x$ to the shaded area, while the other $1 - x$ fraction is unshaded, so the unshaded portion contributes $5(1-x)$ to the unshaded area. We now equate and solve. \[1 + 5(1-x) = 3 + 5x\] Upon solving, we find that $x = \frac{3}{10}$ , so the degree measure is $360 \cdot \frac{3}{10} = \boxed{108}$",108
"Any three vertices of the cube $PQRSTUVW$ , shown in the figure below, can be connected to form a triangle. (For example, vertices $P$ $Q$ , and $R$ can be connected to form isosceles $\triangle PQR$ .) How many of these triangles are equilateral and contain $P$ as a vertex?
[asy] unitsize(4); pair P,Q,R,S,T,U,V,W; P=(0,30); Q=(30,30); R=(40,40); S=(10,40); T=(10,10); U=(40,10); V=(30,0); W=(0,0); draw(W--V); draw(V--Q); draw(Q--P); draw(P--W); draw(T--U); draw(U--R); draw(R--S); draw(S--T); draw(W--T); draw(P--S); draw(V--U); draw(Q--R); dot(P); dot(Q); dot(R); dot(S); dot(T); dot(U); dot(V); dot(W); label(""$P$"",P,NW); label(""$Q$"",Q,NW); label(""$R$"",R,NE); label(""$S$"",S,N); label(""$T$"",T,NE); label(""$U$"",U,NE); label(""$V$"",V,SE); label(""$W$"",W,SW); [/asy]
$\textbf{(A)}0 \qquad \textbf{(B) }1 \qquad \textbf{(C) }2 \qquad \textbf{(D) }3 \qquad \textbf{(E) }6$","The only equilateral triangles that can be formed are through the diagonals of the faces of the square. From P you have $3$ possible vertices that are possible to form a diagonal through one of the faces. Therefore, there are $3$ possible triangles. So the answer is $\boxed{3}$ ~Math645
~andliu766
~e___",3
"Any three vertices of the cube $PQRSTUVW$ , shown in the figure below, can be connected to form a triangle. (For example, vertices $P$ $Q$ , and $R$ can be connected to form isosceles $\triangle PQR$ .) How many of these triangles are equilateral and contain $P$ as a vertex?
[asy] unitsize(4); pair P,Q,R,S,T,U,V,W; P=(0,30); Q=(30,30); R=(40,40); S=(10,40); T=(10,10); U=(40,10); V=(30,0); W=(0,0); draw(W--V); draw(V--Q); draw(Q--P); draw(P--W); draw(T--U); draw(U--R); draw(R--S); draw(S--T); draw(W--T); draw(P--S); draw(V--U); draw(Q--R); dot(P); dot(Q); dot(R); dot(S); dot(T); dot(U); dot(V); dot(W); label(""$P$"",P,NW); label(""$Q$"",Q,NW); label(""$R$"",R,NE); label(""$S$"",S,N); label(""$T$"",T,NE); label(""$U$"",U,NE); label(""$V$"",V,SE); label(""$W$"",W,SW); [/asy]
$\textbf{(A)}0 \qquad \textbf{(B) }1 \qquad \textbf{(C) }2 \qquad \textbf{(D) }3 \qquad \textbf{(E) }6$","Each other compatible point must be an even number of edges away from P, so the compatible points are R, V, and T. Therefore, we must choose two of the three points, because P must be a point in the triangle. So, the answer is ${3 \choose 2} = \boxed{3}$",3
"Any three vertices of the cube $PQRSTUVW$ , shown in the figure below, can be connected to form a triangle. (For example, vertices $P$ $Q$ , and $R$ can be connected to form isosceles $\triangle PQR$ .) How many of these triangles are equilateral and contain $P$ as a vertex?
[asy] unitsize(4); pair P,Q,R,S,T,U,V,W; P=(0,30); Q=(30,30); R=(40,40); S=(10,40); T=(10,10); U=(40,10); V=(30,0); W=(0,0); draw(W--V); draw(V--Q); draw(Q--P); draw(P--W); draw(T--U); draw(U--R); draw(R--S); draw(S--T); draw(W--T); draw(P--S); draw(V--U); draw(Q--R); dot(P); dot(Q); dot(R); dot(S); dot(T); dot(U); dot(V); dot(W); label(""$P$"",P,NW); label(""$Q$"",Q,NW); label(""$R$"",R,NE); label(""$S$"",S,N); label(""$T$"",T,NE); label(""$U$"",U,NE); label(""$V$"",V,SE); label(""$W$"",W,SW); [/asy]
$\textbf{(A)}0 \qquad \textbf{(B) }1 \qquad \textbf{(C) }2 \qquad \textbf{(D) }3 \qquad \textbf{(E) }6$","List them out- you get $PRV$ $PRT$ , and $PVT$ . Therefore, the answer is $\boxed{3}$",3
